0	Kingdom	Phylum	Class	Order	Family	Genus
3228	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
3229	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
7518	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
7517	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
3232	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
3233	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
7516	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
7515	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea
3236	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
3237	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
3239	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
3240	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
3242	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
3243	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
3244	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
7498	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
7497	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Massiliprevotella
7496	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola
7495	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
7493	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
7491	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
3336	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
3337	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia
3338	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
3396	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
3397	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola
3400	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola
3401	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemanella
3402	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
7312	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
7311	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
7310	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
7293	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
7292	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea
7291	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
7289	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola
7288	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
7287	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
3449	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
3451	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Sellimonas
3453	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
3454	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes
3456	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
11281	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter
11280	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
3395	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
3394	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
3393	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	unclassified
3392	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
3339	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
3340	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
3341	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter
3343	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
7373	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
7372	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
7371	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
7370	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
7369	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
7368	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola
3226	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
7367	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea
7348	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella
7347	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
7346	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
7345	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
7344	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter
7343	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum
7342	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
3388	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
3390	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified
3391	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
7366	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter
3225	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
7519	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified
7520	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
